,average_value_of_feature_importances
btc_LogReturn,0.07430787806598112
ETH_AdjClose_LogReturn_lag1,0.06299206494203653
02_market-cap_LogReturn,0.06125716090587327
29_mvrv_LogReturn,0.0541401667270372
BCH_AdjClose_LogReturn_lag1,0.05327168995031209
LTC_AdjClose_LogReturn,0.04641940440520866
BNB_AdjClose_LogReturn,0.04557164302394254
XMR_AdjClose_LogReturn_lag1,0.042985846114323475
31_nvts_LogReturn,0.04059827327275211
00_total-bitcoins_LogReturn_lag1,0.039627470456095756
LTC_AdjClose_LogReturn_lag1,0.039224575500752645
XMR_AdjClose_LogReturn,0.03870227548112035
NEO_AdjClose_LogReturn,0.03822701216897609
EOS_AdjClose_LogReturn,0.037907608636638584
00_total-bitcoins_LogReturn,0.03777937286669569
USDT_Volume_LogReturn_lag1,0.03562150706172141
ZEC_AdjClose_LogReturn_lag1,0.03367388915892967
XRP_AdjClose_LogReturn_lag1,0.03234319204424902
BNB_AdjClose_LogReturn_lag1,0.03205743759529371
IOTA_AdjClose_LogReturn_lag1,0.03168045739251903
XLM_AdjClose_LogReturn_lag1,0.03165896343226302
NEO_AdjClose_LogReturn_lag1,0.03159876096155173
WAVES_AdjClose_LogReturn_lag1,0.029700129949170664
EOS_AdjClose_LogReturn_lag1,0.028653219886555746
